Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-113.6277 53.53554),"53.536","-113.628",Canada,0.009,"3"
POINT(-110.05328 52.68937),"52.689","-110.053",Canada,0.738,"5"
POINT(-118.69852 55.75567),"55.756","-118.699",Canada,0.065,"4"
POINT(-113.51168 53.5239),"53.524","-113.512",Canada,0.049,"4"
POINT(-113.49504 53.48331),"53.483","-113.495",Canada,0.128,"13"
POINT(-113.49212 53.59921),"53.599","-113.492",Canada,0.036,"3"
POINT(-112.78903 49.72087),"49.721","-112.789",Canada,0.073,"8"
POINT(-113.49485 53.54643),"53.546","-113.495",Canada,0.008,"3"
POINT(-113.58404 53.55113),"53.551","-113.584",Canada,0.022,"8"
POINT(-111.73245 55.00606),"55.006","-111.732",Canada,0.846,"5"
POINT(-113.39368 53.48671),"53.487","-113.394",Canada,0.01,"4"
POINT(-113.4507 53.48879),"53.489","-113.451",Canada,0.003,"3"
POINT(-113.81385 52.29165),"52.292","-113.814",Canada,0.035,"3"
POINT(-116.73448 55.43287),"55.433","-116.734",Canada,0.552,"5"
POINT(-111.82812 54.79543),"54.795","-111.828",Canada,0.534,"7"
POINT(-113.50993 53.5463),"53.546","-113.51",Canada,0.078,"8"
POINT(-110.89383 56.09911),"56.099","-110.894",Canada,1.715,"33"
POINT(-113.64977 53.60847),"53.608","-113.65",Canada,0.006,"3"
POINT(-113.07461 53.7309),"53.731","-113.075",Canada,0.308,"11"
POINT(-122.91015 49.18653),"49.187","-122.91",Canada,0.027,"3"
POINT(-122.66857 49.12592),"49.126","-122.669",Canada,0.007,"4"
POINT(-122.8928 49.24657),"49.247","-122.893",Canada,0.02,"3"
POINT(-123.07754 49.25112),"49.251","-123.078",Canada,0.04,"3"
POINT(-122.92522 49.20322),"49.203","-122.925",Canada,0.041,"3"
POINT(-122.98016 49.22214),"49.222","-122.98",Canada,0.043,"5"
POINT(-122.67962 49.10426),"49.104","-122.68",Canada,0.015,"6"
POINT(-123.01236 49.13594),"49.136","-123.012",Canada,0.044,"9"
POINT(-123.01276 49.16177),"49.162","-123.013",Canada,0.071,"13"
POINT(-123.1628 49.02175),"49.022","-123.163",Canada,0.379,"25"
POINT(-122.73083 49.10422),"49.104","-122.731",Canada,0.049,"5"
POINT(-122.91691 49.22478),"49.225","-122.917",Canada,0.03,"12"
POINT(-122.89358 49.24909),"49.249","-122.894",Canada,0.019,"3"
POINT(-123.13846 49.25923),"49.259","-123.138",Canada,0.145,"11"
POINT(-123.04428 49.25891),"49.259","-123.044",Canada,0.238,"44"
