Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-117.11607 32.52161),"32.522","-117.116",Mexico,0.067,"3"
POINT(-116.92132 32.47721),"32.477","-116.921",Mexico,0.065,"7"
POINT(-116.87549 32.4381),"32.438","-116.875",Mexico,0.035,"4"
POINT(-116.96525 32.50526),"32.505","-116.965",Mexico,0.031,"32"
POINT(-116.94497 32.48159),"32.482","-116.945",Mexico,0.165,"15"
POINT(-116.9914 32.50911),"32.509","-116.991",Mexico,0.072,"6"
POINT(-116.87055 32.51382),"32.514","-116.871",Mexico,0.037,"3"
POINT(-117.01766 32.52465),"32.525","-117.018",Mexico,0.093,"57"
POINT(-116.88038 32.4615),"32.462","-116.88",Mexico,0.043,"10"
POINT(-116.94177 32.53356),"32.534","-116.942",Mexico,0.034,"3"
POINT(-116.91139 32.49324),"32.493","-116.911",Mexico,0.035,"3"
POINT(-116.97747 32.50493),"32.505","-116.977",Mexico,0.013,"3"
POINT(-117.00504 32.52274),"32.523","-117.005",Mexico,0.047,"14"
POINT(-117.00778 32.52176),"32.522","-117.008",Mexico,0.043,"19"
POINT(-117.02813 32.52299),"32.523","-117.028",Mexico,0.025,"3"
POINT(-116.98478 32.50738),"32.507","-116.985",Mexico,0.117,"12"
POINT(-116.93317 32.49743),"32.497","-116.933",Mexico,0.031,"11"
POINT(-116.96961 32.52978),"32.53","-116.97",Mexico,0.013,"6"
POINT(-116.97178 32.51435),"32.514","-116.972",Mexico,0.01,"5"
POINT(-116.89522 32.53779),"32.538","-116.895",Mexico,0.078,"8"
POINT(-116.90483 32.49495),"32.495","-116.905",Mexico,0.166,"8"
POINT(-117.07209 32.4813),"32.481","-117.072",Mexico,0.045,"6"
POINT(-116.88691 32.51352),"32.514","-116.887",Mexico,0.042,"8"
POINT(-116.97201 32.50212),"32.502","-116.972",Mexico,0.018,"3"
POINT(-116.90647 32.49527),"32.495","-116.906",Mexico,0.162,"15"
POINT(-116.91678 32.50688),"32.507","-116.917",Mexico,0.078,"7"
POINT(-117.0188 32.53359),"32.534","-117.019",Mexico,0.04,"6"
POINT(-116.98599 32.51727),"32.517","-116.986",Mexico,0.037,"11"
POINT(-117.00786 32.51347),"32.513","-117.008",Mexico,0.019,"4"
POINT(-117.0093 32.5218),"32.522","-117.009",Mexico,0.012,"4"
POINT(-116.9913 32.51756),"32.518","-116.991",Mexico,0.064,"8"
POINT(-117.02301 32.52928),"32.529","-117.023",Mexico,0.116,"12"
POINT(-116.92542 32.47386),"32.474","-116.925",Mexico,0.043,"6"
POINT(-117.0838 32.53222),"32.532","-117.084",Mexico,0.09,"23"
POINT(-116.96423 32.50684),"32.507","-116.964",Mexico,0.047,"5"
POINT(-116.96393 32.54778),"32.548","-116.964",Mexico,0.005,"3"
POINT(-116.9869 32.51591),"32.516","-116.987",Mexico,0.043,"36"
POINT(-116.97902 32.50632),"32.506","-116.979",Mexico,0.473,"54"
POINT(-116.95515 32.53313),"32.533","-116.955",Mexico,0.086,"15"
POINT(-116.89626 32.49879),"32.499","-116.896",Mexico,0.027,"4"
POINT(-117.0079 32.52318),"32.523","-117.008",Mexico,0.01,"5"
POINT(-116.95567 32.50371),"32.504","-116.956",Mexico,0.048,"18"
